"Protein Accession","DNA Accession","ARO Name","ARO Accession"
CAP12355.2,AM850917,OKP-B-6,ARO:3002439
CAJ19615.1,AM051156,OKP-B-7,ARO:3002440
CAJ19616.1,AM051157,OKP-B-8,ARO:3002441
CAJ19618.1,AM051159,OKP-B-9,ARO:3002442
AAA50325.1,L36601,oleB,ARO:3003036
AAA26793,L06249,oleC,ARO:3003748
ABA42119.1,DQ195536,oleD,ARO:3000865
ABA42118.2,DQ195535,oleI,ARO:3000866
AAC12650.1,AF055579.2,oleR,ARO:3001297
AAC43969.1,U38944.1,opcM,ARO:3003037
NP_252897.1,NC_002516,opmD,ARO:3000809
BAE06009.1,AB219524.1,opmE,ARO:3003700
NP_253661.1,NC_002516.2,OpmH,ARO:3003682
BAM10414.1,AB639410,oprA,ARO:3003039
AAB41958.1,U57969,oprJ,ARO:3000802
AAA74438.1,L11616,oprM,ARO:3000379
NP_249118.1,NC_002516,oprM,ARO:3000379
NP_251185.1,NC_002516,oprN,ARO:3000805
AKA86814,KP399637,optrA,ARO:3003746
YP_001693237.1,NC_010378.1,oqxA,ARO:3003922
YP_001693238,NC_010378.1,oqxB,ARO:3003923
CAA37477.1,X53401,otrA,ARO:3002891
AAD04032.1,AF079900,otrB,ARO:3002892
AAR96051.1,AY509111,otrC,ARO:3002894
AIA58911.1,KJ510410,OXA-1,ARO:3001396
AAG45720.1,AF205943,OXA-10,ARO:3001405
CAJ77817.2,AM231720,OXA-100,ARO:3001438
CAL85435.1,AM412777,OXA-101,ARO:3001439
ABQ52429.1,EF581285,OXA-104,ARO:3001636
ABV31686.1,EF650032,OXA-106,ARO:3001637
ABV31687.1,EF650033,OXA-107,ARO:3001638
ABV31688.1,EF650034,OXA-108,ARO:3001639
ABV31689.1,EF650035,OXA-109,ARO:3001640
CAA80304.1,Z22590,OXA-11,ARO:3001406
ABV31690.1,EF650036,OXA-110,ARO:3001641
ABV31691.1,EF650037,OXA-111,ARO:3001642
ABV31692.1,EF650038,OXA-112,ARO:3001643
ABW70410.1,EF653400,OXA-113,ARO:3001644
ABX38721.1,EU188842,OXA-114a,ARO:3001609
ABS71123.1,EU029998,OXA-115,ARO:3001440
ABW95047.1,EU220744,OXA-116,ARO:3001441
ABW95048.1,EU220745,OXA-117,ARO:3001442
AAK55330.1,AF371964,OXA-118,ARO:3001768
AAN41427.1,AY139598,OXA-119,ARO:3001775
AAA83417.1,U10251,OXA-12,ARO:3001407
CCJ32595.1,HE963768,OXA-120,ARO:3001672
AGU69248.1,KF057027,OXA-121,ARO:3001443
ABY77907.1,EU375515,OXA-128,ARO:3001648
CAP69660.1,AM932669,OXA-129,ARO:3001811
AAC46344.1,U59183,OXA-13,ARO:3001408
ACD84988.1,EU547445,OXA-130,ARO:3001651
ACD84989.1,EU547446,OXA-131,ARO:3001652
ACD84990.1,EU547447,OXA-132,ARO:3001653
ACE63186.1,EU571228,OXA-133,ARO:3001702
ADM47435.1,HQ122933,OXA-134,ARO:3001695
ABW76134.1,EU086830,OXA-136,ARO:3001765
ABW76138.1,EU086834,OXA-137,ARO:3001767
ACD45467.1,EU670845,OXA-138,ARO:3001655
CAQ51348.1,AM991978,OXA-139,ARO:3001451
AAA93528.1,L38523,OXA-14,ARO:3001409
ABQ15112.1,EF552405,OXA-141,ARO:3001802
ABY79006.1,EU358785,OXA-142,ARO:3001803
ACX70402.1,GQ861437,OXA-143,ARO:3001654
ACY56711.1,FJ872530,OXA-144,ARO:3002480
ACN85419.1,FJ790516,OXA-145,ARO:3001804
ACI28281.1,FJ194494,OXA-146,ARO:3001779
ACO72579.1,FJ848783,OXA-147,ARO:3001801
ACX31140.1,GQ853679,OXA-148,ARO:3001453
ACX31141.1,GQ853680,OXA-149,ARO:3001454
AAB05874.1,U63835,OXA-15,ARO:3001410
ACX31142.1,GQ853681,OXA-150,ARO:3001455
AAB97924.1,AF043100,OXA-16,ARO:3001411
ADB28891.1,GU199038,OXA-160,ARO:3001663
ACT09125.1,GQ202693,OXA-161,ARO:3001799
ADG27454.1,HM015773,OXA-162,ARO:3001776
ADY06444.1,HQ700343,OXA-163,ARO:3001783
ADK34116.1,GU831575,OXA-164,ARO:3001662
ADK35869.1,HM488986,OXA-165,ARO:3001465
ADK35870.1,HM488987,OXA-166,ARO:3001466
ADK35871.1,HM488988,OXA-167,ARO:3001467
ADK35872.1,HM488989,OXA-168,ARO:3001468
ADK35873.1,HM488990,OXA-169,ARO:3001469
AAC15074.1,AF060206,OXA-17,ARO:3001412
ADK35874.1,HM488991,OXA-170,ARO:3001470
ADK35875.1,HM488992,OXA-171,ARO:3001471
ADI58616.1,HM113558,OXA-172,ARO:3001656
ADI58617.1,HM113559,OXA-173,ARO:3001657
ADI58618.1,HM113560,OXA-174,ARO:3001658
ADI58619.1,HM113561,OXA-175,ARO:3001659
ADI58620.1,HM113562,OXA-176,ARO:3001660
ADI58621.1,HM113563,OXA-177,ARO:3001661
ADI58622.1,HM113564,OXA-178,ARO:3001472
ADM26744.1,HM570035,OXA-179,ARO:3001473
AAB58555.1,U85514,OXA-18,ARO:3001413
ADM26745.1,HM570036,OXA-180,ARO:3001474
AEP16366.1,JN205800,OXA-181,ARO:3001784
ADK92148.1,HM640278,OXA-182,ARO:3001709
ADV41666.1,HQ111474,OXA-183,ARO:3001475
AFO09968.1,JQ396378,OXA-184,ARO:3001476
AAD02245.1,AF043381,OXA-19,ARO:3001414
ADZ54048.1,JF273470,OXA-192,ARO:3001766
AEB98920.1,HQ425492,OXA-194,ARO:3001479
AEB98921.1,HQ425493,OXA-195,ARO:3001480
AEB98922.1,HQ425494,OXA-196,ARO:3001481
AEB98923.1,HQ425495,OXA-197,ARO:3001482
ADT70779.1,HQ634775,OXA-198,ARO:3001805
AFC95894.1,JN704570,OXA-199,ARO:3001814
AAB59082.1,M95287.4,OXA-2,ARO:3001397
YP_001844885.1,NC_010611,OXA-20,ARO:3001415
ADX07745.1,HQ734811,OXA-200,ARO:3001665
ADX07746.1,HQ734812,OXA-201,ARO:3001666
ADX07747.1,HQ734813,OXA-202,ARO:3001667
ADX07748.1,HQ998857,OXA-203,ARO:3001664
AFU91598.1,JQ809466,OXA-204,ARO:3001788
AEO92079.1,JF800667,OXA-205,ARO:3001483
BAL15076.1,AB634250,OXA-206,ARO:3001484
AFK28473.1,JQ838185,OXA-207,ARO:3001485
CCA94644.1,FR853176,OXA-208,ARO:3001486
AEM66528.1,JF268688,OXA-209,ARO:3001809
CAA71699.2,Y10693,OXA-21,ARO:3001416
AEE61368.1,JF795487,OXA-210,ARO:3001487
AEV91550.1,JN861779,OXA-211,ARO:3001710
AEV91551.1,JN861780,OXA-212,ARO:3001711
AEV91552.1,JN861781,OXA-213,ARO:3001712
AEV91553.1,JN861782,OXA-214,ARO:3001713
AEV91554.1,JN861783,OXA-215,ARO:3001714
CCA94649.1,FR865168,OXA-216,ARO:3001488
AEO44980.1,JN603240,OXA-217,ARO:3001489
AEL17179.1,JN215211,OXA-219,ARO:3001668
AAD12233.1,AF064820,OXA-22,ARO:3001417
AEL88491.1,JN248564,OXA-223,ARO:3001669
AEQ73521.1,JN596991,OXA-224,ARO:3001806
AEP43731.1,JN638887,OXA-225,ARO:3001493
ACM67635.1,FJ617207,OXA-226,ARO:3001800
AFM55001.1,JQ422053,OXA-228,ARO:3001691
AFM55000.1,JQ422052,OXA-229,ARO:3001692
AAV65289.1,AY795964,OXA-23,ARO:3001418
AFM55002.1,JQ422054,OXA-230,ARO:3001693
AFG29918.1,JQ326200,OXA-231,ARO:3001670
AGD91915.1,JX423831,OXA-232,ARO:3001778
AID67109.1,KJ657570,OXA-233,ARO:3001495
AFH36330.1,JQ820240,OXA-235,ARO:3001676
AFH36332.1,JQ820242,OXA-236,ARO:3001677
AFH36331.1,JQ820241,OXA-237,ARO:3001678
AFN65709.1,JQ837239,OXA-239,ARO:3001498
AAM34291.1,AF509241,OXA-24,ARO:3001419
AFN20670.1,JX089628,OXA-240,ARO:3001499
AFO55201.1,JX025021,OXA-241,ARO:3001679
AFO55202.1,JX025022,OXA-242,ARO:3001680
AFQ90085.1,JX206446,OXA-243,ARO:3001610
AGC60012.1,JX438000,OXA-244,ARO:3001786
AGC60013.1,JX438001,OXA-245,ARO:3001787
AHC31001.1,KF711993,OXA-246,ARO:3001807
AGC70814.1,JX893517,OXA-247,ARO:3001791
CCJ32596.1,HE963769,OXA-248,ARO:3001673
CCJ32597.1,HE963770,OXA-249,ARO:3001674
AAG35607.1,AF201826,OXA-25,ARO:3001420
CCJ32598.1,HE963771,OXA-250,ARO:3001675
AER57903.1,JN118546,OXA-251,ARO:3001500
AGK07368.1,KC479324,OXA-253,ARO:3001689
BAN10684.1,AB781687,OXA-254,ARO:3001682
AGK07369.1,KC479325,OXA-255,ARO:3001690
CCE94500.1,HE616889,OXA-256,ARO:3001502
AGK07370.1,KC567681,OXA-257,ARO:3001694
CCE73593.2,HE614014,OXA-258,ARO:3001503
AAG35608.1,AF201827,OXA-26,ARO:3001421
AAG35609.1,AF201828,OXA-27,ARO:3001422
AGI65307.1,KC771279,OXA-278,ARO:3001681
AAF72942.1,AF231133,OXA-28,ARO:3001423
CAC35728.1,AJ400619,OXA-29,ARO:3001424
AAC41449.1,L07945,OXA-3,ARO:3001398
CCW28916.1,HF947514,OXA-309,ARO:3001504
AAK52604.1,AF294653,OXA-31,ARO:3001425
AGU69250.1,KF057029,OXA-312,ARO:3001683
AGU69251.1,KF057030,OXA-313,ARO:3001684
AGU69252.1,KF057031,OXA-314,ARO:3001685
AGU69253.1,KF057032,OXA-315,ARO:3001686
AGU69254.1,KF057033,OXA-316,ARO:3001687
AGU69255.1,KF057034,OXA-317,ARO:3001688
AAK58418.1,AF315351,OXA-32,ARO:3001426
AGR55864.1,KF151169,OXA-320,ARO:3001793
AGW16404.1,KF203096,OXA-322,ARO:3001510
AGW16405.1,KF203097,OXA-323,ARO:3001511
AGW16406.1,KF203098,OXA-324,ARO:3001512
AGW16407.1,KF203099,OXA-325,ARO:3001513
AGW16408.1,KF203100,OXA-326,ARO:3001514
AGW16409.1,KF203101,OXA-327,ARO:3001515
AGW16410.1,KF203102,OXA-328,ARO:3001516
AGW16411.1,KF203103,OXA-329,ARO:3001517
AAG23871.1,AY008291,OXA-33,ARO:3001427
AGW16412.1,KF203104,OXA-330,ARO:3001518
AGW16413.1,KF203105,OXA-331,ARO:3001519
AGW16414.1,KF203106,OXA-332,ARO:3001520
AGW16415.1,KF203107,OXA-333,ARO:3001521
AGW16416.1,KF203108,OXA-334,ARO:3001522
AGW16417.1,KF203109,OXA-335,ARO:3001523
AHN07454.1,KF048909,OXA-338,ARO:3001526
AAK15582.1,AF350424,OXA-34,ARO:3001428
AET35493.1,JN086160,OXA-347,ARO:3001777
AGW83446.1,KF297577,OXA-348,ARO:3001535
AGW83447.1,KF297578,OXA-349,ARO:3001536
AAK49460.1,AF315786,OXA-35,ARO:3001429
AGW83448.1,KF297579,OXA-350,ARO:3001537
AGW83449.1,KF297580,OXA-351,ARO:3001538
AGW83450.1,KF297581,OXA-352,ARO:3001539
AGW83451.1,KF297582,OXA-353,ARO:3001540
AGW83452.1,KF297583,OXA-354,ARO:3001541
AGW83453.1,KF297584,OXA-355,ARO:3001542
AGW83454.1,KF297585,OXA-356,ARO:3001543
AGZ83153.1,KF421160,OXA-357,ARO:3001544
AGZ83154.1,KF421161,OXA-358,ARO:3001545
AGZ83155.1,KF421162,OXA-359,ARO:3001546
AAG24866.1,AF300985,OXA-36,ARO:3001430
AGZ83156.1,KF421163,OXA-360,ARO:3001547
AHA11124.1,KF460531,OXA-361,ARO:3001548
AHA11125.1,KF460532,OXA-362,ARO:3001549
AHA11126.1,KF460533,OXA-363,ARO:3001550
AHI63011.1,KF885217,OXA-365,ARO:3001552
AJO16038.1,KP050485,OXA-366,ARO:3001553
AMB19637.1,KT736121.1,OXA-368,ARO:3001555
AAG33665.1,AY007784,OXA-37,ARO:3001431
AHF71363.1,KF900153,OXA-370,ARO:3001774
BAO09635.1,AB871653,OXA-371,ARO:3001557
AHL30274.1,KF986255,OXA-374,ARO:3001560
AHL30275.1,KF986256,OXA-375,ARO:3001561
AHL30276.1,KF986257,OXA-376,ARO:3001562
AHL30277.1,KF986258,OXA-377,ARO:3001563
AHL30278.1,KF986259,OXA-378,ARO:3001564
AHL30279.1,KF986260,OXA-379,ARO:3001565
AHL30280.1,KF986261,OXA-380,ARO:3001566
AHL30285.1,KJ135344,OXA-381,ARO:3001567
AHL30286.1,KJ135345,OXA-382,ARO:3001568
AHL30281.1,KF986262,OXA-383,ARO:3001569
AHL30282.1,KF986263,OXA-384,ARO:3001570
AHL30272.1,KF986253,OXA-385,ARO:3001571
AHL30273.1,KF986254,OXA-386,ARO:3001572
AHK51384.1,KJ173478,OXA-387,ARO:3001573
AHL30284.1,KJ135343,OXA-388,ARO:3001574
AHL30287.1,KJ135346,OXA-389,ARO:3001575
AHL30283.1,KJ135342,OXA-390,ARO:3001576
AHN53381.1,KJ427797,OXA-391,ARO:3001577
AIT76118.1,KM087865,OXA-397,ARO:3001583
AIT76095.1,KM087842,OXA-398,ARO:3001584
AET05998.1,JN129451,OXA-4,ARO:3001399
AIG94927.1,KJ865754,OXA-415,ARO:3001606
AIN56719.1,KJ997966,OXA-418,ARO:3002496
CAD32564.1,AJ488302,OXA-42,ARO:3001769
BAP28835.1,AB983359,OXA-420,ARO:3003116
AIZ00987.1,KM401566,OXA-421,ARO:3003117
AIY30331.1,KM433671,OXA-422,ARO:3003160
AIY30332.1,KM433672,OXA-423,ARO:3003161
AJA32742.1,KM588352,OXA-424,ARO:3003147
AJA32743.1,KM588353,OXA-425,ARO:3003148
AJA32744.1,KM588354,OXA-426,ARO:3003149
CAD32565.1,AJ488303,OXA-43,ARO:3001770
AJT57878.1,KP144324,OXA-435,ARO:3003162
CAD58780.1,AJ519683,OXA-45,ARO:3001794
BAR45714.1,LC037981,OXA-454,ARO:3003610
AFP97030.1,JX131372,OXA-46,ARO:3001797
AAP69225.1,AY237830,OXA-47,ARO:3001781
AAP70012.1,AY236073,OXA-48,ARO:3001782
AAP40270.1,AY288523,OXA-49,ARO:3001671
CAA41211.1,X58272,OXA-5,ARO:3001400
AAQ76277.1,AY306130,OXA-50,ARO:3001796
CAC83905.2,AJ309734,OXA-51,ARO:3001612
AAP43641.1,AY289608,OXA-53,ARO:3001810
AAR89917.1,AY500137,OXA-54,ARO:3001812
AAR03105.1,AY343493,OXA-55,ARO:3001813
AAR32651.1,AY445080,OXA-56,ARO:3001795
CAF74882.1,AJ631966,OXA-57,ARO:3001771
YP_001840873.1,NC_010605,OXA-58,ARO:3001611
CAG15145.1,AJ632249,OXA-59,ARO:3001772
AAQ08905.1,AF525303,OXA-60,ARO:3001808
AAT01092.1,AY587956,OXA-61,ARO:3001773
AAR32134.1,AY423074,OXA-62,ARO:3001792
AAU88145.1,AY619003,OXA-63,ARO:3001764
AAW81336.1,AY750907,OXA-64,ARO:3001613
AAW81337.1,AY750908,OXA-65,ARO:3001614
YP_001846219.1,NC_010611,OXA-66,ARO:3001615
ABF50983.1,DQ491200,OXA-67,ARO:3001437
AAW81339.1,AY750910,OXA-68,ARO:3001616
YP_001713983.1,NC_010410,OXA-69,ARO:3001617
CAA53242.1,X75562,OXA-7,ARO:3001402
AAW81341.1,AY750912,OXA-70,ARO:3001618
AAW81342.1,AY750913,OXA-71,ARO:3001619
ABP87779.2,EF534256,OXA-72,ARO:3001705
AAW22056.1,AY762325,OXA-73,ARO:3001785
CAH69530.1,AJ854182,OXA-74,ARO:3001798
YP_001707429.1,NC_010400,OXA-75,ARO:3001620
AAX51234.1,AY949203,OXA-76,ARO:3001621
AAX51233.1,AY949202,OXA-77,ARO:3001622
AAW81358.1,AY862132,OXA-78,ARO:3001645
ABV71246.1,EU019534,OXA-79,ARO:3001633
ABV71247.1,EU019535,OXA-80,ARO:3001634
ABV71248.1,EU019536,OXA-82,ARO:3001635
ABC26007.1,DQ309277,OXA-83,ARO:3001623
ABC26006.1,DQ309276,OXA-84,ARO:3001624
AAP69916.1,AY227054,OXA-85,ARO:3001780
AAZ78361.1,DQ149247,OXA-86,ARO:3001703
ABC84263.1,DQ348075,OXA-87,ARO:3001704
ABD48715.1,DQ392963,OXA-88,ARO:3001626
ABE03012.1,DQ445683,OXA-89,ARO:3001625
AAA98406.1,M55547,OXA-9,ARO:3001404
CAJ77809.1,AM231719,OXA-90,ARO:3001650
ABF47914.1,DQ519086,OXA-91,ARO:3001627
ABC61637.1,DQ335566,OXA-92,ARO:3001632
ABF47916.1,DQ519087,OXA-93,ARO:3001628
ABF47917.1,DQ519088,OXA-94,ARO:3001629
ABF47918.1,DQ519089,OXA-95,ARO:3001630
ABF47919.1,DQ519090,OXA-96,ARO:3001631
ABO33299.1,EF102240,OXA-97,ARO:3001647
CAK50801.1,AM279652,OXA-98,ARO:3001646
ABI53716.1,DQ888718,OXA-99,ARO:3001649
CAA82916.1,Z30177,OXY-1-1,ARO:3002389
CAI43413.1,AJ871865,OXY-1-2,ARO:3002390
AAL78275.1,AY077482,OXY-1-3,ARO:3002391
AAL78276.1,AY077483,OXY-1-4,ARO:3002392
CAB42615.1,Y17715,OXY-1-6,ARO:3002394
CAI43414.1,AJ871866,OXY-2-1,ARO:3002396
ACV44456.1,FJ785626,OXY-2-10,ARO:3002405
AAL79541.1,AF473577,OXY-2-2,ARO:3002397
AAL78281.2,AY077488,OXY-2-3,ARO:3002398
CAB42614.1,Y17714,OXY-2-4,ARO:3002399
CAG34107.1,AJ746227,OXY-2-5,ARO:3002400
AAL78278.2,AY077485,OXY-2-6,ARO:3002401
CAA88908.1,Z49084,OXY-2-7,ARO:3002402
AAL17873.1,AY055205,OXY-2-8,ARO:3002403
ACV44455.1,FJ785625,OXY-2-9,ARO:3002404
AAN28732.1,AF491278,OXY-3-1,ARO:3002409
AAL78161.1,AY077481,OXY-4-1,ARO:3002410
CAI43417.1,AJ871869,OXY-5-1,ARO:3002411
CAI43419.1,AJ871871,OXY-5-2,ARO:3002412
CAI43422.1,AJ871874,OXY-6-1,ARO:3002413
CAI43423.1,AJ871875,OXY-6-2,ARO:3002414
CAI43424.1,AJ871876,OXY-6-3,ARO:3002415
CAI43425.1,AJ871877,OXY-6-4,ARO:3002416
,NC_002663.1,"Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin",ARO:3003493
NP_417544.5,NC_000913.3,patA,ARO:3000024
NP_358969.1,NC_003098.1,patB,ARO:3000025
YP_001569085.1,NC_010066,"PC1 beta-lactamase (blaZ)",ARO:3000621
ACQ82807.1,FJ666065,PDC-1,ARO:3002497
ACQ82815.1,FJ666073,PDC-10,ARO:3002509
ACQ82806.1,FJ666064,PDC-2,ARO:3002498
ACQ82808.1,FJ666066,PDC-3,ARO:3002500
ACQ82809.1,FJ666067,PDC-4,ARO:3002501
ACQ82810.1,FJ666068,PDC-5,ARO:3002502
ACQ82811.1,FJ666069,PDC-6,ARO:3002505
ACQ82812.1,FJ666070,PDC-7,ARO:3002506
ACQ82813.1,FJ666071,PDC-8,ARO:3002507
ACQ82814.1,FJ666072,PDC-9,ARO:3002508
AJP77059,KP109677,PEDO-1,ARO:3003670
AJP77071,KP109678,PEDO-2,ARO:3003714
AJP77076,KP109679,PEDO-3,ARO:3003715
CAA79968.1,Z21957.1,PER-1,ARO:3002363
CAA63714.1,X93314,PER-2,ARO:3002364
AAU89132.1,AY740681,PER-3,ARO:3002365
ACE77058.1,EU748544,PER-4,ARO:3002366
ACN22483.1,FJ627180,PER-5,ARO:3002367
ADD80743.1,GQ396303,PER-6,ARO:3002368
AEI54993.1,HQ713678,PER-7,ARO:3002369
BAG33043.1,AP009380.1,pgpB,ARO:3003920
AAB39605.1,U67308.1,"Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A",ARO:3003361
BAA03718.1,D16171,"plasmid encoded cat (pp-cat)",ARO:3002689
NP_253464.1,NC_002516.2,PmrA,ARO:3003582
NP_358469.1,NC_003098.1,"pmrA efflux pump",ARO:3000822
YP_492255.1,NC_007779,PmrB,ARO:3003583
AEX49906.1,JQ340365,PmrB,ARO:3003583
BAE78116.1,AP009048,PmrC,ARO:3003576
AAC75089.1,U00096,PmrE,ARO:3003577
AAC75314.1,U00096,PmrF,ARO:3003578
BAA07072.1,D37826,pp-flo,ARO:3002812
,NR_040847.1,"Propionibacterium acnes 16S rRNA mutation conferring resistance to tetracycline",ARO:3003499
WP_002530866.1,NC_006085.1,"Propionibacterium acnes gyrA conferring resistance to fluoroquinolones",ARO:3003974
BAA37152.1,AB003428.1,"Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolone",ARO:3003702
NP_251858.1,NC_002516.2,"Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones",ARO:3003684
NP_249649.1,NC_002516.2,"Pseudomonas aeruginosa oprD conferring resistance to imipenem",ARO:3003686
NP_253654.1,NC_002516.2,"Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones",ARO:3003685
NP_249870.1,NC_002516.2,"Pseudomonas mutant PhoP conferring resistance to colistin",ARO:3003895
NP_249871.1,NC_002516.2,"Pseudomonas mutant PhoQ conferring resistance to colistin",ARO:3003896
AAM15533.1,AF482691.2,PvrR,ARO:3003688
BAJ09383.1,AB566411,qacA,ARO:3003046
AAQ10694.1,AF535087,qacB,ARO:3003047
AAZ42322.1,DQ149925.1,qacH,ARO:3003836
AEZ36150.1,JQ064560,qepA,ARO:3000448
ABI50486.1,DQ831141,QnrA1,ARO:3002707
ADU33193.1,HQ449669,QnrA2,ARO:3002708
AAZ04782.1,DQ058661,QnrA3,ARO:3002709
AAZ04783.1,DQ058662,QnrA4,ARO:3002710
AAZ04784.1,DQ058663,QnrA5,ARO:3002711
AAZ78355.1,DQ151889,QnrA6,ARO:3002712
ACV83303.2,GQ463707,QnrA7,ARO:3002713
ABC86904.1,DQ351241,QnrB1,ARO:3002714
ABG56269.1,DQ631414,QnrB10,ARO:3002724
ABS30107.1,EF653270,QnrB11,ARO:3002725
CAO82104.1,AM774474,QnrB12,ARO:3002726
ABX72042.1,EU273755,QnrB13,ARO:3002727
ABX72044.1,EU273757,QnrB14,ARO:3002728
ABX72227.1,EU302865,QnrB15,ARO:3002730
ABV66096.1,EU136183,QnrB16,ARO:3002731
CAP45902.1,AM919398,QnrB17,ARO:3002732
CAP45903.1,AM919399,QnrB18,ARO:3002733
AGK90303.1,JX298080,QnrB19,ARO:3002734
ABO93588.1,EF488762,QnrB2,ARO:3002715
BAG55487.1,AB379831,QnrB20,ARO:3002735
ACM50952.1,FJ611948,QnrB21,ARO:3002736
ACS71746.1,FJ981621,QnrB22,ARO:3002737
ACS71747.1,FJ981622,QnrB23,ARO:3002738
ADI46626.1,HM192542,QnrB24,ARO:3002739
ADN94685.1,HQ172108,QnrB25,ARO:3002740
AEH59666.1,HQ386846,QnrB26,ARO:3002741
ADM52186.1,HM439641,QnrB27,ARO:3002742
ADM52188.1,HM439643,QnrB28,ARO:3002743
ADM52193.1,HM439649,QnrB29,ARO:3002744
ABC17629.1,DQ303920,QnrB3,ARO:3002716
ADM52194.1,HM439650,QnrB30,ARO:3002745
ADQ43424.1,HQ418999,QnrB31,ARO:3002746
AEL00450.1,JN173054,QnrB32,ARO:3002747
AEL00451.1,JN173055,QnrB33,ARO:3002748
AEL00452.1,JN173056,QnrB34,ARO:3002749
AEL00456.1,JN173057,QnrB35,ARO:3002750
AEL00458.1,JN173058,QnrB36,ARO:3002751
AEL00459.1,JN173059,QnrB37,ARO:3002752
AEL00461.1,JN173060,QnrB38,ARO:3002753
ABC17630.2,DQ303921,QnrB4,ARO:3002718
AEL31271.1,JN166689,QnrB40,ARO:3002755
AEL31272.1,JN166690,QnrB41,ARO:3002756
AEQ94272.1,JN680743,QnrB42,ARO:3002757
AFA52643.1,JQ349151,QnrB43,ARO:3002758
AFA52645.1,JQ349153,QnrB44,ARO:3002759
AFA52644.1,JQ349152,QnrB45,ARO:3002760
ADW54092.1,HQ704413,QnrB46,ARO:3002761
AFU25658.1,JX440358,QnrB47,ARO:3002762
AFH88686.1,JQ762640,QnrB48,ARO:3002763
AFD54601.1,JQ582718,QnrB49,ARO:3002764
ABC17628.1,DQ303919,QnrB5,ARO:3002719
AFU25656.1,JX440357,QnrB50,ARO:3002765
CCI51002.2,HE820727,QnrB54,ARO:3002767
AHE41343.1,KF730650,QnrB55,ARO:3002768
AFR46587.1,JX259317,QnrB56,ARO:3002769
AFR46588.1,JX259318,QnrB57,ARO:3002770
AFR46589.1,JX259319,QnrB58,ARO:3002771
AFR46590.1,JX259320,QnrB59,ARO:3002772
ABP87778.1,EF520349,QnrB6,ARO:3002720
BAN04743.1,AB734055,QnrB60,ARO:3002773
BAN04737.1,AB734053,QnrB61,ARO:3002774
AFY16910.1,JX987101,QnrB62,ARO:3002775
AGL43625.1,KC580653,QnrB64,ARO:3002776
AGL43626.1,KC580654,QnrB65,ARO:3002777
AGL43627.1,KC580655,QnrB66,ARO:3002778
AGL43628.1,KC580656,QnrB67,ARO:3002779
AGL43629.1,KC580657,QnrB68,ARO:3002780
AGL43630.1,KC580658,QnrB69,ARO:3002781
ABW03156.3,EU043311,QnrB7,ARO:3002721
AGL43631.1,KC580659,QnrB70,ARO:3002782
AGL43632.1,KC580660,QnrB71,ARO:3002783
AGN92479.1,KC741443,QnrB72,ARO:3002784
AGT59159.1,KF443075,QnrB73,ARO:3002785
AHX97725.1,KJ415247,QnrB74,ARO:3002786
ABW03157.2,EU043312,QnrB8,ARO:3002722
ABP88094.1,EF526508,QnrB9,ARO:3002723
ACK75961.1,EU917444,QnrC,ARO:3002787
ACG70184.1,FJ228229,QnrD1,ARO:3002788
AHY03238.1,KJ158441,QnrD2,ARO:3002789
ABG56870.1,DQ449578,QnrS1,ARO:3002790
ABF47470.1,DQ485530,QnrS2,ARO:3002791
ABU52984.1,EU077611,QnrS3,ARO:3002792
ACJ24509.1,FJ418153,QnrS4,ARO:3002793
AEG74319.1,HQ631377,QnrS5,ARO:3002794
AEG74318.1,HQ631376,QnrS6,ARO:3002795
AHE41344.1,KF730651,QnrS7,ARO:3002796
AHE41345.1,KF730652,QnrS8,ARO:3002797
AHF20043.1,KF732714,QnrS9,ARO:3002798
ACC54440.2,EU436855,QnrVC1,ARO:3002799
ADI81040.1,HM015626,QnrVC3,ARO:3002800
ADI55014.1,GQ891757,QnrVC4,ARO:3002801
AEM62764.1,JN408080,QnrVC5,ARO:3002802
AGH08253.1,KC202804,QnrVC6,ARO:3002803
AJA36815.1,KM555152,QnrVC7,ARO:3003193
CAA37699.1,X53650,"r39 beta-lactamase",ARO:3003565
AFK13828.1,JQ727668,ramA,ARO:3000823
ADV91011.1,HQ203032,RbpA,ARO:3000245
AFO53532.1,JX028276,rgt1438,ARO:3002883
AIA08936.1,KJ151292,"rifampin phosphotransferase",ARO:3000444
AJD73064.1,CP007593.1,RlmA(II),ARO:3001301
AGU01679.2,KF485393.2,"Rm3 beta-lactamase",ARO:3003894
BAC20579.1,AB083212,rmtA,ARO:3000859
ACL31576.1,FJ483516.1,rmtB,ARO:3000860
YP_001816610.1,NC_010558,rmtB,ARO:3000860
AIA09786.1,KJ476816.1,rmtC,ARO:3000861
ADD21574.1,GQ131574,rmtC,ARO:3000861
ABJ53409.1,DQ914960,rmtD,ARO:3002667
ABY64751.1,EU269034,rmtD,ARO:3002667
AFJ11385.1,JQ808129,rmtF,ARO:3002666
AGE00988.1,JX486113,rmtG,ARO:3002668
AGH19769.1,KC544262,rmtH,ARO:3003198
CAA37052.1,X52872,ROB-1,ARO:3002995
AFK13827.1,JQ727667,robA,ARO:3000825
AAC60781.1,U46859,rosA,ARO:3003048
